,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,conditions.type,conditions.value,causedeath.type,causedeath.value
15,uri,http://www.wikidata.org/entity/Q96695,en,literal,Anton Dilger,literal,1918-1920 flu pandemic,literal,"influenza, 1918-1920 flu pandemic"
16,uri,http://www.wikidata.org/entity/Q168847,en,literal,Brittany Murphy,literal,type-1 diabetes,literal,"anemia, pneumonia, combined drug intoxication"
17,uri,http://www.wikidata.org/entity/Q119935,en,literal,Edmond O'Brien,literal,Alzheimer's disease,literal,Alzheimer's disease
18,uri,http://www.wikidata.org/entity/Q128956,en,literal,Harold Wilson,literal,Alzheimer's disease,literal,"Alzheimer's disease, colorectal cancer"
19,uri,http://www.wikidata.org/entity/Q132305,en,literal,Willem de Kooning,literal,Alzheimer's disease,literal,Alzheimer's disease
20,uri,http://www.wikidata.org/entity/Q132899,en,literal,Vyacheslav Molotov,literal,Alzheimer's disease,literal,Alzheimer's disease
21,uri,http://www.wikidata.org/entity/Q66674,en,literal,Anton Schwarzkopf,literal,Parkinson's disease,literal,Parkinson's disease
22,uri,http://www.wikidata.org/entity/Q77795,en,literal,Hugo Rahner,literal,Parkinson's disease,literal,Parkinson's disease
23,uri,http://www.wikidata.org/entity/Q183469,en,literal,Juanita M. Kreps,literal,Alzheimer's disease,literal,Alzheimer's disease
24,uri,http://www.wikidata.org/entity/Q184351,en,literal,Yitzhak Shamir,literal,Alzheimer's disease,literal,Alzheimer's disease
25,uri,http://www.wikidata.org/entity/Q192069,en,literal,Enid Blyton,literal,Alzheimer's disease,literal,Alzheimer's disease
26,uri,http://www.wikidata.org/entity/Q192185,en,literal,Aaron Copland,literal,Alzheimer's disease,literal,Alzheimer's disease
27,uri,http://www.wikidata.org/entity/Q193405,en,literal,Emil Cioran,literal,Alzheimer's disease,literal,Alzheimer's disease
28,uri,http://www.wikidata.org/entity/Q83015,en,literal,Ramadan Shalah,literal,coma,literal,disease
29,uri,http://www.wikidata.org/entity/Q111190,en,literal,Frank Sherwood Rowland,literal,Parkinson's disease,literal,Parkinson's disease
30,uri,http://www.wikidata.org/entity/Q123010,en,literal,Hans Küng,literal,Parkinson's disease,literal,Parkinson's disease
31,uri,http://www.wikidata.org/entity/Q123158,en,literal,Gus Arriola,literal,Parkinson's disease,literal,Parkinson's disease
32,uri,http://www.wikidata.org/entity/Q142462,en,literal,Booth Gardner,literal,Parkinson's disease,literal,Parkinson's disease
33,uri,http://www.wikidata.org/entity/Q142567,en,literal,Jack Anderson,literal,Parkinson's disease,literal,Parkinson's disease
34,uri,http://www.wikidata.org/entity/Q66245,en,literal,Oskar Fischinger,literal,diabetes,literal,myocardial infarction
35,uri,http://www.wikidata.org/entity/Q70556,en,literal,Hartwig Gauder,literal,heart transplant,literal,myocardial infarction
36,uri,http://www.wikidata.org/entity/Q74042,en,literal,Guy Béart,literal,cancer,literal,myocardial infarction
37,uri,http://www.wikidata.org/entity/Q76420,en,literal,Georg Cantor,literal,bipolar disorder,literal,myocardial infarction
38,uri,http://www.wikidata.org/entity/Q162667,en,literal,Glen Campbell,literal,Alzheimer's disease,literal,Alzheimer's disease
39,uri,http://www.wikidata.org/entity/Q167475,en,literal,Jacques Rivette,literal,Alzheimer's disease,literal,Alzheimer's disease
40,uri,http://www.wikidata.org/entity/Q173675,en,literal,Bayliss Levrett,literal,Alzheimer's disease,literal,Alzheimer's disease
41,uri,http://www.wikidata.org/entity/Q175519,en,literal,Raymond Davis Jr.,literal,Alzheimer's disease,literal,Alzheimer's disease
42,uri,http://www.wikidata.org/entity/Q153379,en,literal,John Cornell,literal,Parkinson's disease,literal,Parkinson's disease
43,uri,http://www.wikidata.org/entity/Q157921,en,literal,Kurt Masur,literal,Parkinson's disease,literal,Parkinson's disease
44,uri,http://www.wikidata.org/entity/Q159609,en,literal,Prince Claus of the Netherlands,literal,Parkinson's disease,literal,"Parkinson's disease, pneumonia"
45,uri,http://www.wikidata.org/entity/Q167877,en,literal,Michael Jackson,literal,Parkinson's disease,literal,"Parkinson's disease, myocardial infarction, diabetes"
46,uri,http://www.wikidata.org/entity/Q173547,en,literal,Teddy Mayer,literal,Parkinson's disease,literal,Parkinson's disease
47,uri,http://www.wikidata.org/entity/Q87941,en,literal,Carl Möhner,literal,Parkinson's disease,literal,Parkinson's disease
48,uri,http://www.wikidata.org/entity/Q88997,en,literal,Ferdy Mayne,literal,Parkinson's disease,literal,Parkinson's disease
49,uri,http://www.wikidata.org/entity/Q93005,en,literal,Herman Goldstine,literal,Parkinson's disease,literal,Parkinson's disease
50,uri,http://www.wikidata.org/entity/Q93117,en,literal,William Norris,literal,Parkinson's disease,literal,Parkinson's disease
51,uri,http://www.wikidata.org/entity/Q95330,en,literal,James Ingo Freed,literal,Parkinson's disease,literal,Parkinson's disease
52,uri,http://www.wikidata.org/entity/Q95444,en,literal,Sig Arno,literal,Parkinson's disease,literal,Parkinson's disease
53,uri,http://www.wikidata.org/entity/Q96660,en,literal,Dieter Mann,literal,Parkinson's disease,literal,Parkinson's disease
54,uri,http://www.wikidata.org/entity/Q97624,en,literal,Karl-Heinz Schnibbe,literal,Parkinson's disease,literal,Parkinson's disease
55,uri,http://www.wikidata.org/entity/Q98770,en,literal,Fritz Teufel,literal,Parkinson's disease,literal,Parkinson's disease
56,uri,http://www.wikidata.org/entity/Q104146,en,literal,Deborah Kerr,literal,Parkinson's disease,literal,Parkinson's disease
57,uri,http://www.wikidata.org/entity/Q155845,en,literal,Chinua Achebe,literal,paraplegia,literal,disease
58,uri,http://www.wikidata.org/entity/Q114063,en,literal,Ermanno Olmi,literal,Guillain–Barré Syndrome,literal,disease
59,uri,http://www.wikidata.org/entity/Q179780,en,literal,David Bodian,literal,Parkinson's disease,literal,Parkinson's disease
60,uri,http://www.wikidata.org/entity/Q183655,en,literal,Owen Chamberlain,literal,Parkinson's disease,literal,Parkinson's disease
61,uri,http://www.wikidata.org/entity/Q189186,en,literal,Zelman Cowen,literal,Parkinson's disease,literal,Parkinson's disease
62,uri,http://www.wikidata.org/entity/Q189741,en,literal,Melvin Schwartz,literal,Parkinson's disease,literal,"Parkinson's disease, hepatitis"
63,uri,http://www.wikidata.org/entity/Q69306,en,literal,Margarete Steiff,literal,poliomyelitis,literal,pneumonia
64,uri,http://www.wikidata.org/entity/Q76302,en,literal,Giuseppina Strepponi,literal,rheumatoid arthritis,literal,pneumonia
65,uri,http://www.wikidata.org/entity/Q80739,en,literal,Charlton Heston,literal,Alzheimer's disease,literal,"pneumonia, leukemia"
66,uri,http://www.wikidata.org/entity/Q146256,en,literal,Miriam Makeba,literal,rheumatoid arthritis,literal,myocardial infarction
67,uri,http://www.wikidata.org/entity/Q113814,en,literal,Larry Semon,literal,tuberculosis,literal,"pneumonia, tuberculosis"
68,uri,http://www.wikidata.org/entity/Q124527,en,literal,James Thurber,literal,blindness,literal,pneumonia
69,uri,http://www.wikidata.org/entity/Q129987,en,literal,William III of England,literal,asthma,literal,pneumonia
70,uri,http://www.wikidata.org/entity/Q183359,en,literal,Allan Pettersson,literal,rheumatoid arthritis,literal,cancer
71,uri,http://www.wikidata.org/entity/Q188783,en,literal,Moshe Dayan,literal,one-eyed,literal,"cancer, myocardial infarction, colorectal cancer"
72,uri,http://www.wikidata.org/entity/Q193111,en,literal,Mika Waltari,literal,bipolar disorder,literal,cancer
73,uri,http://www.wikidata.org/entity/Q154340,en,literal,Francis Bacon,literal,asthma,literal,myocardial infarction
74,uri,http://www.wikidata.org/entity/Q154895,en,literal,Herbert von Karajan,literal,rheumatoid arthritis,literal,myocardial infarction
75,uri,http://www.wikidata.org/entity/Q157052,en,literal,Emperor Taishō,literal,"meningitis, pneumonia",literal,myocardial infarction
76,uri,http://www.wikidata.org/entity/Q159098,en,literal,Reverend Gary Davis,literal,blindness,literal,myocardial infarction
77,uri,http://www.wikidata.org/entity/Q170515,en,literal,Omar Sharif,literal,Alzheimer's disease,literal,myocardial infarction
78,uri,http://www.wikidata.org/entity/Q174311,en,literal,Christopher Reeve,literal,paralysis,literal,"myocardial infarction, sepsis"
79,uri,http://www.wikidata.org/entity/Q134452,en,literal,Charles VIII of France,literal,polydactyly,literal,stroke
80,uri,http://www.wikidata.org/entity/Q92775,en,literal,Humphrey Carpenter,literal,Parkinson's disease,literal,myocardial infarction
81,uri,http://www.wikidata.org/entity/Q93354,en,literal,F. Scott Fitzgerald,literal,bipolar disorder,literal,myocardial infarction
82,uri,http://www.wikidata.org/entity/Q108941,en,literal,Carrie Fisher,literal,bipolar disorder,literal,myocardial infarction
83,uri,http://www.wikidata.org/entity/Q66706,en,literal,Peter Friedhofen,literal,tuberculosis,literal,tuberculosis
84,uri,http://www.wikidata.org/entity/Q67758,en,literal,Carl August Walbrodt,literal,tuberculosis,literal,tuberculosis
85,uri,http://www.wikidata.org/entity/Q67987,en,literal,Albrecht von Graefe,literal,tuberculosis,literal,tuberculosis
86,uri,http://www.wikidata.org/entity/Q69151,en,literal,Nicolaus Reimers,literal,tuberculosis,literal,tuberculosis
87,uri,http://www.wikidata.org/entity/Q69589,en,literal,Georg-Wilhelm Postel,literal,tuberculosis,literal,tuberculosis
88,uri,http://www.wikidata.org/entity/Q70158,en,literal,Joachim Nicolas Eggert,literal,tuberculosis,literal,tuberculosis
89,uri,http://www.wikidata.org/entity/Q71456,en,literal,Ludwig Christoph Heinrich Hölty,literal,tuberculosis,literal,tuberculosis
90,uri,http://www.wikidata.org/entity/Q72795,en,literal,Queen Louise of Belgium,literal,tuberculosis,literal,tuberculosis
91,uri,http://www.wikidata.org/entity/Q73086,en,literal,Christy Mathewson,literal,tuberculosis,literal,tuberculosis
92,uri,http://www.wikidata.org/entity/Q74085,en,literal,Jacob Albright,literal,tuberculosis,literal,tuberculosis
93,uri,http://www.wikidata.org/entity/Q75590,en,literal,Johann Christian Gottlieb Ackermann,literal,tuberculosis,literal,tuberculosis
94,uri,http://www.wikidata.org/entity/Q76072,en,literal,Richard Kandt,literal,tuberculosis,literal,tuberculosis
95,uri,http://www.wikidata.org/entity/Q76358,en,literal,Carl von Ossietzky,literal,tuberculosis,literal,tuberculosis
96,uri,http://www.wikidata.org/entity/Q76686,en,literal,August Schleicher,literal,tuberculosis,literal,tuberculosis
97,uri,http://www.wikidata.org/entity/Q77370,en,literal,Paul Rudolf von Bilguer,literal,tuberculosis,literal,tuberculosis
98,uri,http://www.wikidata.org/entity/Q77458,en,literal,Arend Friedrich August Wiegmann,literal,tuberculosis,literal,tuberculosis
99,uri,http://www.wikidata.org/entity/Q78381,en,literal,Blandine Merten,literal,tuberculosis,literal,tuberculosis
100,uri,http://www.wikidata.org/entity/Q78636,en,literal,Archduke Ferdinand Karl of Austria,literal,tuberculosis,literal,tuberculosis
101,uri,http://www.wikidata.org/entity/Q78650,en,literal,Maria Teresia Ledóchowska,literal,tuberculosis,literal,tuberculosis
102,uri,http://www.wikidata.org/entity/Q80137,en,literal,Emily Brontë,literal,tuberculosis,literal,tuberculosis
103,uri,http://www.wikidata.org/entity/Q80492,en,literal,Gavrilo Princip,literal,tuberculosis,literal,tuberculosis
104,uri,http://www.wikidata.org/entity/Q81130,en,literal,Anders Celsius,literal,tuberculosis,literal,tuberculosis
105,uri,http://www.wikidata.org/entity/Q81148,en,literal,John Parker,literal,tuberculosis,literal,tuberculosis
106,uri,http://www.wikidata.org/entity/Q82083,en,literal,John Keats,literal,tuberculosis,literal,tuberculosis
107,uri,http://www.wikidata.org/entity/Q83229,en,literal,Edward VI of England,literal,tuberculosis,literal,tuberculosis
108,uri,http://www.wikidata.org/entity/Q183187,en,literal,Fahd bin Abdulaziz Al Saud,literal,"type 2 diabetes, rheumatoid arthritis",literal,pneumonia
109,uri,http://www.wikidata.org/entity/Q184535,en,literal,Sofia Kovalevskaya,literal,"1889–1890 pandemic, influenza",literal,pneumonia
110,uri,http://www.wikidata.org/entity/Q124115,en,literal,Niels Henrik Abel,literal,tuberculosis,literal,tuberculosis
111,uri,http://www.wikidata.org/entity/Q124273,en,literal,Samuel-Auguste Tissot,literal,tuberculosis,literal,tuberculosis
112,uri,http://www.wikidata.org/entity/Q125417,en,literal,Hans Rudi Erdt,literal,tuberculosis,literal,tuberculosis
113,uri,http://www.wikidata.org/entity/Q127235,en,literal,Francis Edward Bache,literal,tuberculosis,literal,tuberculosis
114,uri,http://www.wikidata.org/entity/Q129429,en,literal,Vivien Leigh,literal,"bipolar disorder, tuberculosis",literal,tuberculosis
115,uri,http://www.wikidata.org/entity/Q131149,en,literal,Henry David Thoreau,literal,tuberculosis,literal,tuberculosis
116,uri,http://www.wikidata.org/entity/Q146465,en,literal,Baldwin III of Jerusalem,literal,tuberculosis,literal,"tuberculosis, dysentery"
117,uri,http://www.wikidata.org/entity/Q152233,en,literal,El Lissitzky,literal,tuberculosis,literal,tuberculosis
118,uri,http://www.wikidata.org/entity/Q109676,en,literal,Saskia van Uylenburgh,literal,tuberculosis,literal,tuberculosis
119,uri,http://www.wikidata.org/entity/Q112004,en,literal,Sammi Fajarowicz,literal,tuberculosis,literal,tuberculosis
120,uri,http://www.wikidata.org/entity/Q112088,en,literal,Archduchess Maria Anna Josepha of Austria,literal,tuberculosis,literal,tuberculosis
121,uri,http://www.wikidata.org/entity/Q113830,en,literal,Max Beer,literal,tuberculosis,literal,tuberculosis
122,uri,http://www.wikidata.org/entity/Q117887,en,literal,Ludwik de Laveaux,literal,tuberculosis,literal,tuberculosis
123,uri,http://www.wikidata.org/entity/Q118906,en,literal,Anna Lopukhina,literal,tuberculosis,literal,tuberculosis
124,uri,http://www.wikidata.org/entity/Q120241,en,literal,Caetano da Costa Alegre,literal,tuberculosis,literal,tuberculosis
125,uri,http://www.wikidata.org/entity/Q189081,en,literal,Howard Hughes,literal,"Diogenes syndrome, chronic pain, obsessive-compulsive disorder, malnutrition",literal,"myocardial infarction, kidney failure"
126,uri,http://www.wikidata.org/entity/Q93157,en,literal,Eugene O'Neill,literal,Parkinson's disease,literal,pneumonia
127,uri,http://www.wikidata.org/entity/Q102870,en,literal,Harriet Tubman,literal,"hypersomnia, temporal lobe epilepsy, narcolepsy",literal,pneumonia
128,uri,http://www.wikidata.org/entity/Q105118,en,literal,Sidney Sheldon,literal,bipolar disorder,literal,pneumonia
129,uri,http://www.wikidata.org/entity/Q180727,en,literal,John Cage,literal,arthritis,literal,stroke
130,uri,http://www.wikidata.org/entity/Q181689,en,literal,Blind Willie McTell,literal,blindness,literal,stroke
131,uri,http://www.wikidata.org/entity/Q184785,en,literal,Anne Rice,literal,type-1 diabetes,literal,stroke
132,uri,http://www.wikidata.org/entity/Q185696,en,literal,Louisa May Alcott,literal,"mental depression, pneumonia",literal,stroke
133,uri,http://www.wikidata.org/entity/Q154602,en,literal,Otto Nicolai,literal,syphilis,literal,stroke
134,uri,http://www.wikidata.org/entity/Q170068,en,literal,Akseli Gallen-Kallela,literal,diphtheria,literal,pneumonia
135,uri,http://www.wikidata.org/entity/Q154812,en,literal,Carl Maria von Weber,literal,tuberculosis,literal,tuberculosis
136,uri,http://www.wikidata.org/entity/Q157309,en,literal,Simone Weil,literal,tuberculosis,literal,tuberculosis
137,uri,http://www.wikidata.org/entity/Q158379,en,literal,Jiří Wolker,literal,tuberculosis,literal,tuberculosis
138,uri,http://www.wikidata.org/entity/Q160554,en,literal,Mohammad Ali Jinnah,literal,tuberculosis,literal,tuberculosis
139,uri,http://www.wikidata.org/entity/Q163043,en,literal,Marie Josèphe of Saxony,literal,tuberculosis,literal,tuberculosis
140,uri,http://www.wikidata.org/entity/Q164047,en,literal,Alexander Pope,literal,tuberculosis,literal,tuberculosis
141,uri,http://www.wikidata.org/entity/Q167997,en,literal,Otto Schmidt,literal,tuberculosis,literal,tuberculosis
142,uri,http://www.wikidata.org/entity/Q169512,en,literal,Maria Amalia of Saxony,literal,tuberculosis,literal,tuberculosis
143,uri,http://www.wikidata.org/entity/Q170205,en,literal,Maria Ludovika of Austria-Este,literal,tuberculosis,literal,tuberculosis
144,uri,http://www.wikidata.org/entity/Q170293,en,literal,Grand Duke George Alexandrovich of Russia,literal,tuberculosis,literal,tuberculosis
145,uri,http://www.wikidata.org/entity/Q171889,en,literal,Johnny Claes,literal,tuberculosis,literal,tuberculosis
146,uri,http://www.wikidata.org/entity/Q174791,en,literal,Mahmud II,literal,tuberculosis,literal,tuberculosis
147,uri,http://www.wikidata.org/entity/Q91985,en,literal,Karl Dall,literal,ptosis,literal,stroke
148,uri,http://www.wikidata.org/entity/Q83396,en,literal,Eleanor Roosevelt,literal,"aplastic anemia, tuberculosis",literal,tuberculosis
149,uri,http://www.wikidata.org/entity/Q84610,en,literal,Otto Steinhäusl,literal,tuberculosis,literal,tuberculosis
150,uri,http://www.wikidata.org/entity/Q85011,en,literal,Franz Winkelmeier,literal,"gigantism, tuberculosis",literal,tuberculosis
151,uri,http://www.wikidata.org/entity/Q89540,en,literal,Erwin Schulhoff,literal,tuberculosis,literal,tuberculosis
152,uri,http://www.wikidata.org/entity/Q90746,en,literal,Zikmund Schul,literal,tuberculosis,literal,tuberculosis
153,uri,http://www.wikidata.org/entity/Q91434,en,literal,Ernst August Wagner,literal,tuberculosis,literal,tuberculosis
154,uri,http://www.wikidata.org/entity/Q91969,en,literal,Hans Heinz Zerlett,literal,tuberculosis,literal,tuberculosis
155,uri,http://www.wikidata.org/entity/Q92476,en,literal,Curt Schimmelbusch,literal,tuberculosis,literal,tuberculosis
156,uri,http://www.wikidata.org/entity/Q93182,en,literal,Louis Braille,literal,"tuberculosis, blindness",literal,tuberculosis
157,uri,http://www.wikidata.org/entity/Q95296,en,literal,Karl Philipp von Greifenclau zu Vollraths,literal,tuberculosis,literal,tuberculosis
158,uri,http://www.wikidata.org/entity/Q95978,en,literal,Christiane Luise Amalie Becker,literal,tuberculosis,literal,tuberculosis
159,uri,http://www.wikidata.org/entity/Q96026,en,literal,Rudolf G. Binding,literal,tuberculosis,literal,tuberculosis
160,uri,http://www.wikidata.org/entity/Q96080,en,literal,Alfred Gerstenberg,literal,tuberculosis,literal,tuberculosis
161,uri,http://www.wikidata.org/entity/Q96417,en,literal,Alexander Schimmelfennig,literal,tuberculosis,literal,tuberculosis
162,uri,http://www.wikidata.org/entity/Q102176,en,literal,Theodor Uhlig,literal,tuberculosis,literal,tuberculosis
163,uri,http://www.wikidata.org/entity/Q102822,en,literal,Jacobus Henricus van 't Hoff,literal,tuberculosis,literal,tuberculosis
164,uri,http://www.wikidata.org/entity/Q180819,en,literal,Lev Vygotsky,literal,tuberculosis,literal,tuberculosis
165,uri,http://www.wikidata.org/entity/Q181715,en,literal,Thérèse of Lisieux,literal,tuberculosis,literal,tuberculosis
166,uri,http://www.wikidata.org/entity/Q182905,en,literal,Georgi Plekhanov,literal,tuberculosis,literal,tuberculosis
167,uri,http://www.wikidata.org/entity/Q184461,en,literal,Ceferino Namuncurá,literal,Tuberculosis.,literal,tuberculosis
168,uri,http://www.wikidata.org/entity/Q185312,en,literal,Giovanni Battista Pergolesi,literal,tuberculosis,literal,tuberculosis
169,uri,http://www.wikidata.org/entity/Q187241,en,literal,Augustin-Jean Fresnel,literal,tuberculosis,literal,tuberculosis
170,uri,http://www.wikidata.org/entity/Q187935,en,literal,John Breathitt,literal,tuberculosis,literal,tuberculosis
171,uri,http://www.wikidata.org/entity/Q188965,en,literal,Madame de Pompadour,literal,tuberculosis,literal,tuberculosis
172,uri,http://www.wikidata.org/entity/Q189766,en,literal,Luigi Boccherini,literal,tuberculosis,literal,tuberculosis
173,uri,http://www.wikidata.org/entity/Q192496,en,literal,Robert Fulton,literal,tuberculosis,literal,tuberculosis
174,uri,http://www.wikidata.org/entity/Q192885,en,literal,Vissarion Belinsky,literal,tuberculosis,literal,tuberculosis
175,uri,http://www.wikidata.org/entity/Q193968,en,literal,Mohammed Omar,literal,one-eyed,literal,tuberculosis
176,uri,http://www.wikidata.org/entity/Q196301,en,literal,Countess Louise Henriette of Nassau,literal,tuberculosis,literal,tuberculosis
177,uri,http://www.wikidata.org/entity/Q199644,en,literal,Adolfo Caminha,literal,tuberculosis,literal,tuberculosis
178,uri,http://www.wikidata.org/entity/Q201495,en,literal,Maui Pomare,literal,tuberculosis,literal,tuberculosis
179,uri,http://www.wikidata.org/entity/Q120870,en,literal,Jakob Weiseborn,literal,alcoholism,literal,poisoning
180,uri,http://www.wikidata.org/entity/Q120993,en,literal,Amedeo Modigliani,literal,tuberculosis,literal,"poisoning, tuberculous meningitis"
181,uri,http://www.wikidata.org/entity/Q116983,en,literal,Robert Donat,literal,asthma,literal,asthma
182,uri,http://www.wikidata.org/entity/Q153141,en,literal,Scatman John,literal,stuttering,literal,lung cancer
183,uri,http://www.wikidata.org/entity/Q159347,en,literal,Steve McQueen,literal,mesothelioma,literal,lung cancer
184,uri,http://www.wikidata.org/entity/Q174957,en,literal,Nina Simone,literal,bipolar disorder,literal,breast cancer
185,uri,http://www.wikidata.org/entity/Q122509,en,literal,Uriella,literal,"amyotrophic lateral sclerosis, cancer",literal,tumor
186,uri,http://www.wikidata.org/entity/Q113584,en,literal,Grand Duchess Olga Nikolaevna of Russia,literal,typhoid fever,literal,ballistic trauma
187,uri,http://www.wikidata.org/entity/Q149724,en,literal,Faisal II of Iraq,literal,asthma,literal,ballistic trauma
188,uri,http://www.wikidata.org/entity/Q79972,en,literal,James VI and I,literal,"kidney stone disease, arthritis, gout, dysentery, malaria",literal,dysentery
189,uri,http://www.wikidata.org/entity/Q133855,en,literal,Guillaume Apollinaire,literal,"1918-1920 flu pandemic, influenza",literal,1918-1920 flu pandemic
190,uri,http://www.wikidata.org/entity/Q122290,en,literal,Jean-Paul Marat,literal,dermatitis herpetiformis,literal,stab wound
191,uri,http://www.wikidata.org/entity/Q123368,en,literal,Annemarie Schwarzenbach,literal,mental depression,literal,bicycle accident
192,uri,http://www.wikidata.org/entity/Q164521,en,literal,George Best,literal,alcoholism,literal,kidney failure
193,uri,http://www.wikidata.org/entity/Q173481,en,literal,Fernando Pessoa,literal,bipolar disorder,literal,liver cirrhosis
194,uri,http://www.wikidata.org/entity/Q167828,en,literal,Lev Yashin,literal,amputation,literal,stomach cancer
195,uri,http://www.wikidata.org/entity/Q131861,en,literal,Sergei Rachmaninoff,literal,1918-1920 flu pandemic,literal,melanoma
196,uri,http://www.wikidata.org/entity/Q147989,en,literal,Joaquín Balaguer,literal,blindness,literal,heart failure
197,uri,http://www.wikidata.org/entity/Q152549,en,literal,Maria Theresa of Spain,literal,Habsburger Unterlippe,literal,sepsis
198,uri,http://www.wikidata.org/entity/Q158173,en,literal,Princess Margaret of Connaught,literal,"erysipelas, sepsis, measles",literal,sepsis
199,uri,http://www.wikidata.org/entity/Q154045,en,literal,"Alexei Nikolaevich, Tsarevich of Russia",literal,hemophilia B,literal,ballistic trauma
200,uri,http://www.wikidata.org/entity/Q156585,en,literal,Marc Bloch,literal,rheumatoid arthritis,literal,"ballistic trauma, execution"
201,uri,http://www.wikidata.org/entity/Q158148,en,literal,Grand Duchess Tatiana Nikolaevna of Russia,literal,typhoid fever,literal,ballistic trauma
202,uri,http://www.wikidata.org/entity/Q83235,en,literal,Horatio Nelson,literal,"one-eyed, blindness",literal,Battle of Trafalgar
203,uri,http://www.wikidata.org/entity/Q109559,en,literal,Thomas A. Steitz,literal,pancreatic cancer,literal,pancreatic cancer
204,uri,http://www.wikidata.org/entity/Q67250,en,literal,Georg Klebs,literal,1918-1920 flu pandemic,literal,1918-1920 flu pandemic
205,uri,http://www.wikidata.org/entity/Q71474,en,literal,Raimund Harmstorf,literal,Parkinson's disease,literal,hanging
206,uri,http://www.wikidata.org/entity/Q171291,en,literal,Ötzi,literal,"trichuriasis, osteochondrosis, spondylosis",literal,exsanguination
207,uri,http://www.wikidata.org/entity/Q70279,en,literal,Jürgen Marcus,literal,chronic obstructive pulmonary disease,literal,chronic obstructive pulmonary disease
208,uri,http://www.wikidata.org/entity/Q182725,en,literal,Etta James,literal,"opioid use disorder, Alzheimer's disease",literal,leukemia
209,uri,http://www.wikidata.org/entity/Q188803,en,literal,Christiaan Barnard,literal,"rheumatoid arthritis, asthma",literal,asthma
210,uri,http://www.wikidata.org/entity/Q167225,en,literal,Marius Žaliūkas,literal,amyotrophic lateral sclerosis,literal,amyotrophic lateral sclerosis
211,uri,http://www.wikidata.org/entity/Q75858,en,literal,Jörg Immendorff,literal,amyotrophic lateral sclerosis,literal,amyotrophic lateral sclerosis
212,uri,http://www.wikidata.org/entity/Q79100,en,literal,Sergei Mandreko,literal,amyotrophic lateral sclerosis,literal,amyotrophic lateral sclerosis
213,uri,http://www.wikidata.org/entity/Q77079,en,literal,Jean Paul,literal,blindness,literal,edema
214,uri,http://www.wikidata.org/entity/Q72756,en,literal,Raoul Walsh,literal,one-eyed,literal,cardiovascular disease
215,uri,http://www.wikidata.org/entity/Q76167,en,literal,Abdurrahman Wahid,literal,blindness,literal,cardiovascular disease
216,uri,http://www.wikidata.org/entity/Q73692,en,literal,Susan Butcher,literal,acute myeloid leukemia,literal,acute myeloid leukemia
217,uri,http://www.wikidata.org/entity/Q77862,en,literal,Dietrich Schwanitz,literal,Huntington's disease,literal,pulmonary embolism
218,uri,http://www.wikidata.org/entity/Q175788,en,literal,David Lane,literal,epilepsy,literal,neurological disorder
219,uri,http://www.wikidata.org/entity/Q147144,en,literal,Zao Wou-Ki,literal,Alzheimer's disease,literal,complication
220,uri,http://www.wikidata.org/entity/Q915579,en,literal,Briggs Cunningham,literal,Alzheimer's disease,literal,Alzheimer's disease
221,uri,http://www.wikidata.org/entity/Q923302,en,literal,José Ramos Delgado,literal,Alzheimer's disease,literal,Alzheimer's disease
